parameter_type,parameter_type_text_short,parameter_type_text_long,parameter_category
2036,Color_Depth,Color_Depth,3
2037,Color_Depth_2,Color_Depth_2,3
2038,Projector_Lens_Shift_Reset,Projector_Lens_Shift_Reset,7
2039,Zoom_12,Zoom_12,5
2040,Animation_Reset_2,Animation_Reset_2,4
2041,Color_Mix_Macro_Direction_4,Color_Mix_Macro_Direction_4,3
2042,Color_Mix_Macro_Direction_5,Color_Mix_Macro_Direction_5,3
2043,Pixel_Mask_Crossfade_Time_5,Pixel_Mask_Crossfade_Time_5,4
2044,Pixel_Mask_Effect_Crossfade_Time_5,Pixel_Mask_Effect_Crossfade_Time_5,4
2045,Pixel_Mask_Crossfade_Time_6,Pixel_Mask_Crossfade_Time_6,4
2046,Laser,Laser,3
2047,Pixel_Mask_Effect_Crossfade_Time_6,Pixel_Mask_Effect_Crossfade_Time_6,4
2048,Pixel_Mask_Crossfade_Time_7,Pixel_Mask_Crossfade_Time_7,4
2049,Color_Mix_Range_2,Color_Mix_Range_2,3
2050,Pixel_Mask_Effect_Crossfade_Time_7,Pixel_Mask_Effect_Crossfade_Time_7,4
2051,Proj_Keypad,Proj_Keypad,5
2052,Proj_Keypad_2,Proj_Keypad_2,5
2053,Pixel_Mask_Crossfade_Time_8,Pixel_Mask_Crossfade_Time_8,4
2054,Pixel_Mask_Effect_Crossfade_Time_8,Pixel_Mask_Effect_Crossfade_Time_8,4
2055,Pixel_Mask_Crossfade_Time_9,Pixel_Mask_Crossfade_Time_9,4
2056,Pixel_Mask_Effect_Crossfade_Time_9,Pixel_Mask_Effect_Crossfade_Time_9,4
2057,Show,Show,5
2058,Pixel_Mask_Effect_Time_5,Pixel_Mask_Effect_Time_5,4
2059,Pixel_Mask_Effect_Time_6,Pixel_Mask_Effect_Time_6,4
2060,Pixel_Mask_Effect_Time_7,Pixel_Mask_Effect_Time_7,4
2061,Pixel_Mask_Effect_Time_8,Pixel_Mask_Effect_Time_8,4
2062,Pixel_Mask_Effect_Time_9,Pixel_Mask_Effect_Time_9,4
2063,Lime_Main,Lime_Main,3
2064,Background_Lime,Background_Lime,3
2065,Action,Action,3
2066,Frequency,Frequency,3
2067,Effect_Macros,Effect_Macros,4
2068,Color_Temperature_2,Color_Temperature_2,3
2069,Color_Temperature_3,Color_Temperature_3,3
2070,Color_Temperature_4,Color_Temperature_4,3
2071,Color_Temperature_5,Color_Temperature_5,3
2072,Color_Temperature_6,Color_Temperature_6,3
2073,Stripy,Stripy,5
2075,Fx_Para_2,Fx_Para_2,5
2076,Fx_Para_3,Fx_Para_3,5
2077,Fx_Para_4,Fx_Para_4,5
2078,Effect_Library,Effect_Library,5
2079,Text,Text,5
2080,Tiling_Mode,Tiling_Mode,5
2081,Layer_Blend_Mode,Layer_Blend_Mode,5
2082,Style,Style,3
2083,Lamp_Control_4,Lamp_Control_4,7
2084,Pan_Shortcut_Mode,Pan_Shortcut_Mode,7
2085,Fixture_Non_Position_Reset,Fixture_Non_Position_Reset,7
2086,Fixture_Display_Mode,Fixture_Display_Mode,7
2087,DMX_Source,DMX_Source,7
2088,Parabolic_Mirror_Offset_Amplitude,Parabolic_Mirror_Offset_Amplitude,5
2089,Royal_Blue_Adjust,Royal_Blue_Adjust,3
2090,Animation_Wheel_Macros,Animation_Wheel_Macros,4
2091,Pixel_Mask_Effect_Direction,Pixel_Mask_Effect_Direction,4
2092,Animation_Wheel_Select_Blink_2,Animation_Wheel_Select_Blink_2,4
2093,Mode_4,Mode_4,5
2094,Red_Power,Red_Power,3
2095,Green_Power,Green_Power,3
2096,Blue_Power,Blue_Power,3
2097,Red_Offset,Red_Offset,3
2098,Red_Slope,Red_Slope,3
2099,Green_Offset,Green_Offset,3
2100,Green_Slope,Green_Slope,3
2101,Blue_Offset,Blue_Offset,3
2102,Blue_Slope,Blue_Slope,3
2103,X_Scale_2,X_Scale_2,5
2104,Y_Scale_2,Y_Scale_2,5
2105,Softness_2,Softness_2,5
2106,X_Scale_3,X_Scale_3,5
2107,Y_Scale_3,Y_Scale_3,5
2108,Softness_3,Softness_3,5
2109,X_Scale_4,X_Scale_4,5
2110,Y_Scale_4,Y_Scale_4,5
2111,Softness_4,Softness_4,5
2112,X_Scale_5,X_Scale_5,5
2113,Y_Scale_5,Y_Scale_5,5
2114,Softness_5,Softness_5,5
2115,Color_Macro_Rate,Color_Macro_Rate,3
2116,Color_Macro_Pause,Color_Macro_Pause,3
2117,X_Scale_6,X_Scale_6,5
2118,Y_Scale_6,Y_Scale_6,5
2119,Softness_6,Softness_6,5
2120,X_Scale_7,X_Scale_7,5
2121,Y_Scale_7,Y_Scale_7,5
2122,Gobo_Forward,Gobo_Forward,4
2123,Gobo_Reverse,Gobo_Reverse,4
2124,Softness_7,Softness_7,5
2125,X_Scale_8,X_Scale_8,5
2126,Y_Scale_8,Y_Scale_8,5
2127,Softness_8,Softness_8,5
2128,X_Scale_9,X_Scale_9,5
2129,Y_Scale_9,Y_Scale_9,5
2130,Softness_9,Softness_9,5
2131,X_Scale_10,X_Scale_10,5
2132,Y_Scale_10,Y_Scale_10,5
2133,Softness_10,Softness_10,5
2134,Shape_2,Shape_2,5
2135,Shape_3,Shape_3,5
2136,Shape_4,Shape_4,5
2137,Shape_5,Shape_5,5
2138,Shape_6,Shape_6,5
2139,Shape_7,Shape_7,5
2140,Shape_8,Shape_8,5
2141,Shape_9,Shape_9,5
2142,Shape_10,Shape_10,5
2143,Shape_Mode_2,Shape_Mode_2,4
2144,Shape_Mode_3,Shape_Mode_3,4
2145,Shape_Mode_4,Shape_Mode_4,4
2146,Shape_Mode_5,Shape_Mode_5,4
2147,Shape_Mode_6,Shape_Mode_6,4
2148,Shape_Mode_7,Shape_Mode_7,4
2149,Shape_Mode_8,Shape_Mode_8,4
2150,Shape_Mode_9,Shape_Mode_9,4
2151,Shape_Mode_10,Shape_Mode_10,4
2152,Color_Grade,Color_Grade,3
2153,Color_Grade_2,Color_Grade_2,3
2154,Color_Grade_Select,Color_Grade_Select,3
2155,Color_Grade_Select_2,Color_Grade_Select_2,3
2156,Tilt_Shortcut_Mode,Tilt_Shortcut_Mode,7
2157,Animation_Wheel_Select_Blink,Animation_Wheel_Select_Blink,4
2158,Color_Crossfade_Type_2,Color_Crossfade_Type_2,3
2159,Beam_Fx_Wheel_Mode_4,Beam_Fx_Wheel_Mode_4,4
